20180520113951,10.0.0.2,55315,10.0.0.1,5001,3,0.0-1.0,4587520,36700160
20180520113952,10.0.0.2,55315,10.0.0.1,5001,3,1.0-2.0,5636096,45088768
20180520113953,10.0.0.2,55315,10.0.0.1,5001,3,2.0-3.0,5242880,41943040
20180520113954,10.0.0.2,55315,10.0.0.1,5001,3,3.0-4.0,5111808,40894464
20180520113955,10.0.0.2,55315,10.0.0.1,5001,3,4.0-5.0,5767168,46137344
20180520113956,10.0.0.2,55315,10.0.0.1,5001,3,5.0-6.0,5636096,45088768
20180520113957,10.0.0.2,55315,10.0.0.1,5001,3,6.0-7.0,5636096,45088768
20180520113958,10.0.0.2,55315,10.0.0.1,5001,3,7.0-8.0,5636096,45088768
20180520113959,10.0.0.2,55315,10.0.0.1,5001,3,8.0-9.0,5636096,45088768
20180520114000,10.0.0.2,55315,10.0.0.1,5001,3,9.0-10.0,5636096,45088768
20180520114001,10.0.0.2,55315,10.0.0.1,5001,3,10.0-11.0,6029312,48234496
20180520114002,10.0.0.2,55315,10.0.0.1,5001,3,11.0-12.0,5636096,45088768
20180520114003,10.0.0.2,55315,10.0.0.1,5001,3,12.0-13.0,6160384,49283072
20180520114004,10.0.0.2,55315,10.0.0.1,5001,3,13.0-14.0,5636096,45088768
20180520114005,10.0.0.2,55315,10.0.0.1,5001,3,14.0-15.0,6029312,48234496
20180520114006,10.0.0.2,55315,10.0.0.1,5001,3,15.0-16.0,5636096,45088768
20180520114007,10.0.0.2,55315,10.0.0.1,5001,3,16.0-17.0,6029312,48234496
20180520114008,10.0.0.2,55315,10.0.0.1,5001,3,17.0-18.0,5636096,45088768
20180520114009,10.0.0.2,55315,10.0.0.1,5001,3,18.0-19.0,6160384,49283072
20180520114010,10.0.0.2,55315,10.0.0.1,5001,3,19.0-20.0,5111808,40894464
20180520114011,10.0.0.2,55315,10.0.0.1,5001,3,20.0-21.0,6160384,49283072
20180520114012,10.0.0.2,55315,10.0.0.1,5001,3,21.0-22.0,5636096,45088768
20180520114013,10.0.0.2,55315,10.0.0.1,5001,3,22.0-23.0,6029312,48234496
20180520114014,10.0.0.2,55315,10.0.0.1,5001,3,23.0-24.0,5636096,45088768
20180520114015,10.0.0.2,55315,10.0.0.1,5001,3,24.0-25.0,6029312,48234496
20180520114016,10.0.0.2,55315,10.0.0.1,5001,3,25.0-26.0,6160384,49283072
20180520114017,10.0.0.2,55315,10.0.0.1,5001,3,26.0-27.0,5636096,45088768
20180520114018,10.0.0.2,55315,10.0.0.1,5001,3,27.0-28.0,6029312,48234496
20180520114019,10.0.0.2,55315,10.0.0.1,5001,3,28.0-29.0,5636096,45088768
20180520114020,10.0.0.2,55315,10.0.0.1,5001,3,29.0-30.0,6160384,49283072
20180520114021,10.0.0.2,55315,10.0.0.1,5001,3,30.0-31.0,5636096,45088768
20180520114022,10.0.0.2,55315,10.0.0.1,5001,3,31.0-32.0,6160384,49283072
20180520114023,10.0.0.2,55315,10.0.0.1,5001,3,32.0-33.0,5767168,46137344
20180520114024,10.0.0.2,55315,10.0.0.1,5001,3,33.0-34.0,5636096,45088768
20180520114025,10.0.0.2,55315,10.0.0.1,5001,3,34.0-35.0,6160384,49283072
20180520114026,10.0.0.2,55315,10.0.0.1,5001,3,35.0-36.0,5636096,45088768
20180520114027,10.0.0.2,55315,10.0.0.1,5001,3,36.0-37.0,6160384,49283072
20180520114028,10.0.0.2,55315,10.0.0.1,5001,3,37.0-38.0,5767168,46137344
20180520114029,10.0.0.2,55315,10.0.0.1,5001,3,38.0-39.0,5636096,45088768
20180520114030,10.0.0.2,55315,10.0.0.1,5001,3,39.0-40.0,6160384,49283072
20180520114031,10.0.0.2,55315,10.0.0.1,5001,3,40.0-41.0,5767168,46137344
20180520114032,10.0.0.2,55315,10.0.0.1,5001,3,41.0-42.0,6160384,49283072
20180520114033,10.0.0.2,55315,10.0.0.1,5001,3,42.0-43.0,5636096,45088768
20180520114034,10.0.0.2,55315,10.0.0.1,5001,3,43.0-44.0,5636096,45088768
20180520114035,10.0.0.2,55315,10.0.0.1,5001,3,44.0-45.0,6160384,49283072
20180520114036,10.0.0.2,55315,10.0.0.1,5001,3,45.0-46.0,5767168,46137344
20180520114037,10.0.0.2,55315,10.0.0.1,5001,3,46.0-47.0,6160384,49283072
20180520114038,10.0.0.2,55315,10.0.0.1,5001,3,47.0-48.0,5242880,41943040
20180520114039,10.0.0.2,55315,10.0.0.1,5001,3,48.0-49.0,6160384,49283072
20180520114040,10.0.0.2,55315,10.0.0.1,5001,3,49.0-50.0,5636096,45088768
20180520114041,10.0.0.2,55315,10.0.0.1,5001,3,50.0-51.0,5767168,46137344
20180520114042,10.0.0.2,55315,10.0.0.1,5001,3,51.0-52.0,6160384,49283072
20180520114043,10.0.0.2,55315,10.0.0.1,5001,3,52.0-53.0,5636096,45088768
20180520114044,10.0.0.2,55315,10.0.0.1,5001,3,53.0-54.0,6160384,49283072
20180520114045,10.0.0.2,55315,10.0.0.1,5001,3,54.0-55.0,5636096,45088768
